questions
Hoe ziet een gemiddelde studieweek van een eerstejaarsstudent eruit?
Wat is de verhouding tussen verplichte aanwezige uren en zelfstudie bij deze studie?
Met hoeveel studenten zit je in een groep of collegezaal?
Wordt er tijdens de studie veel samengewerkt met medestudenten?
Zijn er opleidingen die vergelijkbaar zijn met deze studie?
Hoe is de kwaliteit van de opleiding in vergelijking met opleidingen van andere universiteiten?
Wat is de uitval in het eerste studiejaar?
Hoe is de sfeer binnen de studie?
Wat kan ik het beste doen als ik niet kan kiezen tussen meerdere opleidingen?
Heb je bij de opleiding nog een mentor of een persoon waar je naartoe kan voor vragen?
"wat als ik me niet veilig of lekker voel in de klas, naar wie kan ik dan het beste toe?"
Hoe is de verhouding theorie - praktijk van de opleiding 
Word er op de opleiding een groot beroep op je zelfstandigheid gedaan of is het vrij 'schools'?
hoe blijf  ik het best betrokennn bij mijn opleiding?
met welk vakken pakket van middelbare school (E&M of N&G/T) sluit deze opleiding het beste aan?
hoe is de studeerbaarheid van de opleiding? 
krijg ik studiepunten voor meedoen met een studievereniging?
wanneer zeggen jullie dat ik me niet voor jullie studievereniging moet aanmelden?
welke andere studievereniging raden jullie aan?
"Iedereen zegt dat ik lid moet worden van (jullie) (een) studievereniging, durven jullie ook te vertellen waarom of wanneer ik dit niet zou moeten doen?"
Hoe tevreden ben je met de opleiding 
Wat had jij graag willen weten toen jij aan deze opleiding begon?
wat vind je van de voorbereiding op de beroepsloopbaan binnen jouw opleding?
op basis van je ervaringen tot nu toe zou je opnieuw voor deze opleiding kiezen en waarom?
wat vind je van het niveau van de opleiding?
Zouden jullie de opleiding nog een keer kiezen als je opnieuw kon beginnen? 
Wat maakt de opleiding leuker / beter / gezelliger dan andere opleidingen 
Hoe zit het met herkansingen als je bijv. een tentamen niet haalt
Wat zijn de moeilijkste vakken van deze studie?
Welke vakken zijn het makkelijkst
"Ik weet dat ik elk jaar 60 studiepunten moet halen, maar hoe worden die verdiend?"
Kan ik vanuit huis me tentamen doen … 
hoe werken studiepunten 
"Wat als ik me eerste jaar niet haal, moet ik dan meteen een andere studie doen "
Krijg ik een herkansing als ik vanwege me thuissiutyatue niet kan herkasen 
Worden alle tentamens online gedaan en moet ik dan me eigen laptop bij me hebben (macbook) 
Moet ik bij alle lessen zijn om me studie te halen 
Is er een aanwezigheidsplicht 
"Worden de colleges opgenomen, waarom wel of waarom niet?"
Is er een pre studie checklist waardoor ik me goed kan voorbereiden 
