job_titles,job_description,images,locations,salaries,companies,pros,cons
Junior Modeling Expert,"Eindhoven
Metrology orchestrates the behavior of powerful system modules, so that together they achieve an extraordinary combination of speed and accuracy. This is why we are looking for modelling experts who are experts in requirements engineering and challenged by translating functional requirements into lean functional designs. So are you someone that combines strong analytical reasoning and conceptual understanding with excellent communication skills.

| Your challenges?

With TMC Physics, a Junior Modelling Expert applies its analytical skills on complex physical-technical problems, social or financial systems. This can range from developing, modifying and validating models to applying these models (both analytical and numerical). The work will mainly be conducted in project teams of various (technical) disciplines. It is crucial that you have a good overview of the possible applications of your expertise and that you’re able to motivate this to others.

| What do we expect from you?
MSc or PhD in (theoretical) physics, applied mathematics, scientific computing or comparable background;
Proficiency experience with C, C++, Matlab and/or Python;
At least >1 years experience in the high tech industry;
Proven experience and affinity with modeling of physical-technical problems, risk modeling, image processing and / or data analysis;
Good oral and written communicative skills;
Stress resistant, team player and strong personality;
Serious motivation for the Employeneurship model of TMC.
| What does our Business Cell have to offer?

The Employeneurs of TMC Physics are strongly driven by content. TMC Physics Employeneurs are internationally orientated, come from different cultures and are critical by nature. These are traits our customers like to put to their advantage. Within the team of physics competences in the field of computational physics, thermal and flow, optics/instrumentation/vision and plasma physics are represented among others.

| What can you expect from TMC?

TMC is an international high-tech consultancy company that brings expertise to their clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world.

At TMC we believe that people are the driving force behind technological innovation. That is why we want to create the best possible conditions for tech talents to thrive in. We offer you a challenging and stimulating work environment in which you can be the director of your own career.
As an Employeneur you are part of our TMC family. Next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture.
| Why choose for Employeneurship?

We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21th century for high skilled technical professionals. It is built around 5 main pillars:

You will have a permanent employment contract, offering you stability and security
You will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing
We will support you with a one-on-one coaching and trainings designed to help you develop your entrepreneurial skills
The competence cells structure, provides you with a strong meaningful and relevant network
The entrepreneurial lab: a playground for new ideas and a potential launching for start-ups


TMC is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Feel Free to Contact
Bram Thelen
Director Data Science | Nanotechnology | Physics, Netherlands
Tel: +31 (0)6 52 89 25 70",https://media.glassdoor.com/sql/773880/tmc-netherlands-squareLogo-1661351101892.png,Eindhoven,nan,TMC,NG,NG
Experienced Vacuum Flow Architect,"Eindhoven
You combine a strong analytical and conceptual mind with a pragmatic attitude. You are able to work independently in a dynamic and complex environment, taking the lead and inspiring your colleagues in going the extra mile. You possess a resilient personality, with both feet on the ground, qualifying you as an individual not easy to overlook. You see the big picture without missing the important details and you have experience with managing complex deliverables.

| YOUR CHALLENGES?

In this sector, the Vacuum Architecture group specifies, designs and delivers vacuum & gas flow based EUV scanner solutions and controls to secure high and stable EUV transmission of the optical column while protecting the in-vacuum optics, reticles & wafers from molecular and particle contamination.Our group is responsible for the conceptualization, specification and functional integration of the EUV scanner vacuum architecture and specification of its subsystems.

Main responsibilities
Analyze fab & field system performance data, initiate root cause finding & problem solvingTranslate overall system design into a gas flow & vacuum architecture that secures the requirements for sustained transmission over the scanner optics lifetime and suppression of molecular and particle contaminationDesign gas flow architecture and implementation proposals in EUV litho tool, quantify (predictive & experimental) the performance, create design specifications on gas flow, (partial) pressure and outgassingNegotiate, define, document and present the specifications of the architecture or subsystemSteer modeling and analyses to predict and evaluate the functionality of the flow architectureTake care of the functional integration of the architecture or subsystem: prove, document and present its proper functioning with offline and machine testsBe a critical partner to our internal and external customers, provide direction and advise on solutionsContribute to the group competence growth by research, experimental testing and/or cooperation with external research partners

| WHAT DO WE EXPECT FROM YOU?

Education:
MSc or PhD degree in Applied Physics, Mechanical Engineering, Chemical Engineering, Mathematics or a closely related field of study.

Experience:
5-7 years work experience in industry in related area in technical complex environmentExperience with gas flow transport phenomena and/or aerodynamics engineeringTheoretical and practical experience with vacuum systems and applications related to the field of vacuum and sub-atmospheric gas flowsExperience with vacuum component selection and vacuum system design and integrationExperience in the semiconductor industry is preferred
Skills:
You are a highly motivated team player with excellent social, coordination and communication skills.You quickly understand requests and pose the right questions to get to the point.You are able to bring your ideas across and get buy-in, based on your solid knowledge of the matter and understanding your customerYou are able to perform in highly dynamic environment, stress resilientYou organize work effectively and having a systematic approach in problem solvingYou provide technical direction, motivate and convince your team of professionals: mechanical, flow, thermal designersYou have a pragmatic and result-oriented attitudeYou are an enthusiastic personality with a creative mindset and can-do mentalityYou stand your ground in discussions with your (internal) customers, suppliers, and project counterpartsOf course, you are fluent in English (both written and verbal)

As an employeneur, you connect well with others and contribute to finding your next project. You set your own direction and use the tools we provide to grow and move forward in your life and career. You are entrepreneurial, proactive and go the extra mile for your team, both from TMC and at the customer.

| WHAT DOES OUR BUSINESS CELL HAVE TO OFFER?

The Employeneurs of TMC Physics are strongly driven by content. TMC Physics Employeneurs are internationally orientated, come from different cultures and are critical by nature. These are traits our customers like to put to their advantage. Within the team of physics competences in the field of computational physics, thermal and flow, optics/instrumentation/vision and plasma physics are represented among others.

| WHAT CAN YOU EXPECT FROM TMC?

TMC is an international high-tech consultancy company that brings expertise to their clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world.

At TMC we believe that people are the driving force behind technological innovation. That is why we want to create the best possible conditions for tech talents to thrive in. We offer you a challenging and stimulating work environment in which you can be the director of your own career.

As an Employeneur you are part of our TMC family. Next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture.

| WHY CHOOSE FOR EMPLOYENEURSHIP?

We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21th century for high skilled technical professionals. It is built around 5 main pillars:

You will have a permanent employment contract, offering you stability and security
You will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing
We will support you with a one-on-one coaching and trainings designed to help you develop your entrepreneurial skills
The competence cells structure, provides you with a strong meaningful and relevant network
The entrepreneurial lab: a playground for new ideas and a potential launching for start-ups

TMC is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Feel Free to Contact
Bram Thelen
Director Data Science | Nanotechnology | Physics, Netherlands
Tel: +31 (0)6 52 89 25 70",https://media.glassdoor.com/sql/773880/tmc-netherlands-squareLogo-1661351101892.png,Eindhoven,nan,TMC,NG,NG
