,company
0,"['PhD Candidate, Applied Mathematics', 'Master’s Degree, Applied Mathematics', 'Master’s Degree, Applied Mathematics']"
1,['Andrea’s recent posts and comments will be displayed here.']
2,"['Freelance · 4 yrs 5 mos', 'Helios, Waldorf summer kamps', 'Free University of Amsterdam · Contract', 'De Vrije School, Den Haag']"
3,"['Part-time · 3 yrs', '5 yrs 4 mos', 'Part-time', 'Movella · Internship', 'Stads-Hotel Boerland', 'WILDLANDS Adventure Zoo Emmen']"
4,"['Danone · Internship', 'Massimo Dutti', 'Desigual · Full-time', 'Marina Racewear · Full-time']"
5,"['Universiteit Leiden · Part-time', 'Stichting Studiebegeleiding Leiden']"
6,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
7,['Jan’s recent posts and comments will be displayed here.']
8,"['ING · Full-time', 'MeMo² · Part-time', 'Nordea · Part-time', '5 mos', 'Lyceo']"
9,"['Booking.com', '4 yrs 11 mos', 'ProRail', 'IKO', 'Parahyangan Catholic University']"
10,"['wasoe · Internship', 'Embedded Fitness · Internship', 'Balkan Services · Internship']"
11,"['JetBrains · Full-time', 'NICE Ltd · Full-time', '2 yrs 10 mos', 'Full-time', 'Internship', 'JetBrains Academy', '1 yr 1 mo', 'Internship']"
12,"['Master of Science - MSc, Governance of Sustainability', 'Bachelor of Science - BSc, Wiskunde', 'Bachelor of Science - BSc, Physics']"
13,"['CISPA Helmholtz Center for Information Security · Full-time', 'Padova University', 'UMI - Italian Mathematical Union']"
14,"['arianjoyandeh.com · Self-employed', ""W.I.S.V. 'Christiaan Huygens'\u200b"", 'Faculty of EEMCS', 'Technische Universiteit Delft', 'De Delftse Bedrijvendagen']"
15,"['Eindhoven University of Technology · Part-time', 'TIOBE Software · Internship', 'Mitra', ""Indian Students' Association, Eindhoven · Part-time"", 'Part-time · 1 yr 3 mos']"
16,"['University of Twente · Contract', 'Bayer · Internship', 'Marotura · Part-time', 'Part-time · 2 yrs 3 mos']"
17,"['Capgemini Engineering · Full-time', 'Centrum Wiskunde & Informatica · Full-time']"
18,"['Master, Mathematics', 'Bachelor, Mathematics', 'Gymnasium']"
19,"['4 yrs 3 mos', 'Full-time', 'Part-time', 'KNMI - Koninklijk Nederlands Meteorologisch Instituut · Full-time', '-', 'Albert Heijn']"
20,['Maurizio’s recent posts and comments will be displayed here.']
21,"['University of Groningen · Full-time', 'University of Michigan - School of Education · Full-time', 'Loughborough University', 'Self-Employed']"
22,"['DongIT', 'Universiteit Leiden · Full-time', 'Leiden University · Full-time', 'Universiteit Leiden · Part-time', 'Stichting Studiebegeleiding Leiden · Freelance']"
23,"['Camping Zeeburg Amsterdam · Part-time', 'University of Amsterdam', 'Natuurwetenschappelijke Studievereniging Amsterdam · Full-time', 'Eindsprint Examentrainingen', 'Oudervereniging St. Michaël College']"
24,"['112 Eatery · Full-time', 'Snack Bar · Part-time', ""King's College Hospital NHS Foundation Trust"", 'LIFETIME FITNESS', 'Anderson Race Management']"
25,"['Part-time · 2 yrs 9 mos', '6 mos', 'Part-time', 'Part-time', 'Internship', 'RoadOne IntermodaLogistics · Internship', 'NASA - National Aeronautics and Space Administration · Internship', 'Hollister Co. · Part-time']"
26,"[""Master's degree, Engineering Physics/Applied Physics"", ""Bachelor's degree, Mathematics""]"
27,"[""Master's degree, Biomedische technologie (Biomedical engineering)"", 'Premasters, Biomedical/Medical Engineering', ""Bachelor's degree, Innovation Sciences (Psychology & Technology - Robotics)""]"
28,"['Rabobank · Full-time', 'Morgan Stanley · Full-time', 'Sysdata S.p.A. · Internship', 'SKIAlabs B.V.', 'Alma Mater Studiorum - Università di Bologna']"
29,"['8 yrs 1 mo', 'Dutch Railways · Full-time', '4 yrs 2 mos', 'Silverwing Aeronautics', 'Directorate-General for Public Works and Water Management · Internship']"
30,"['Doctor of Philosophy (Ph.D.), fluid dynamics', ""Master's Degree, Mathematics"", ""Bachelor's Degree, Physics""]"
31,"['Master of Science - MS, Data Science for Decision Making', ""Master's degree, Theoretical Computer Science and Theory of Systems & Control"", ""Bachelor's degree, Mathematics""]"
32,"['Universiteit Utrecht', 'ivogabe Software Development', 'Hospitality Group', 'Universiteit Utrecht']"
33,"['KlasseStudent · Part-time', 'Café de Keyzer · Part-time', 'Top-Trainingen Breda · Part-time']"
34,[]
35,"['Freelance', 'German Language School · Part-time', 'Speak In Istanbul  · Full-time', 'Speak In Istanbul · Full-time', 'Part-time · 1 yr 5 mos']"
36,"['PwC Indonesia', 'Orami', 'Erasmus School of Economics · Part-time']"
37,"['Ortec Finance · Full-time', '6 yrs 6 mos', 'Leiden University College The Hague', 'University of Waterloo', 'University of Waterloo']"
38,['Eric J.’s recent posts and comments will be displayed here.']
39,"[""Master's Degree, Theoretical Physics"", 'Summer School, German & Creative Writing', ""Bachelor's degree exchange, Physics and Mathematics""]"
40,"['TNO · Full-time', 'Leiden University · Contract', 'University of Zagreb/Sveuciliste u Zagrebu · Full-time', 'Forschungszentrum Jülich · Internship']"
