,University
0,[]
1,[]
2,"['Delft University of Technology', 'Delft University of Technology', 'University of Amsterdam']"
3,"['University of Twente', 'University of Twente', 'Tecnun - Universidad de Navarra']"
4,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Universitat Politècnica de Catalunya (UPC)', 'Saxion University of Applied Sciences']"
5,"['University of Cambridge', 'University of Cambridge', 'Leiden University']"
6,"['Engels', 'Nederlands', 'SAS-programmering']"
7,[]
8,"['Leiden University', 'Leiden University', 'DTU - Technical University of Denmark']"
9,"['Delft University of Technology', 'Delft University of Technology', 'Universitas Katolik Parahyangan']"
10,"['Fontys University of Applied Sciences', 'High School of Mathematics Sofia, Bulgaria']"
11,['Saint Petersburg State University']
12,[]
13,"['Leiden University', 'Università degli Studi di Padova', 'ALGANT Consortium']"
14,"['Delft University of Technology', 'Delft University of Technology', 'Delft University of Technology']"
15,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Delhi Public School, Pune']"
16,"['University of Twente', 'University of Twente', 'University of Stavanger']"
17,"['CWI Amsterdam', 'ETH Zürich', 'Universitat Autònoma de Barcelona']"
18,[]
19,"['Utrecht University', 'Utrecht University', 'RSG Pantarijn']"
20,[]
21,"['Loughborough University', 'National and Kapodistrian University of Athens, Greece', 'National and Kapodistrian University of Athens, Greece']"
22,"['Leiden University', 'Leiden University']"
23,"['University of Amsterdam', 'University of Amsterdam']"
24,"['Erasmus University Rotterdam', 'University of Minnesota', 'University of Minnesota']"
25,"['University of Massachusetts Amherst', 'University of Massachusetts Lowell', 'Randolph High School']"
26,[]
27,"['Arduino', 'C (Programming Language)', 'Online Tutoring']"
28,"['Alma Mater Studiorum – Università di Bologna', 'ISTAO - Istituto Adriano Olivetti', 'Università degli Studi di Bari']"
29,"['Delft University of Technology', 'Korea Advanced Institute of Science and Technology', 'Delft University of Technology']"
30,[]
31,"['SQL - MySQL for Data Analytics and Business Intelligence ', 'R Programming A-Z™: R For Data Science With Real Exercises!']"
32,"['Utrecht University', 'Utrecht University', 'Bornego College']"
33,"['Leiden University', 'Delft University of Technology', 'Mencia de Mendoza Lyceum']"
34,"['Leiden University', 'PhD researcher', 'Teaching Assistant']"
35,"['University of Oxford', 'Akhmet Yassawi University', 'CPA Ireland']"
36,"['Erasmus School of Economics', 'International Institute of Social Studies (ISS) of Erasmus University Rotterdam', 'Binus International School Serpong']"
37,"['Leiden University', 'University of Waterloo', 'University of Waterloo']"
38,[]
39,[]
40,"['Leiden University', 'University of Zagreb/Sveuciliste u Zagrebu', 'University of Zagreb/Sveuciliste u Zagrebu']"
41,"['Utrecht University', 'Utrecht University', 'Utrecht University']"
42,[]
43,"['Leiden University', 'Wuhan University']"
44,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Educational minor - Eindhoven School of Education']"
45,"['University of Twente', 'University of Twente', 'University of Twente']"
46,"['Utrecht University', 'Utrecht University', 'Junior College Utrecht']"
47,"['Universiteit Twente', 'Teaching Assistant', 'Teaching Assistant', 'Master Thesis Student', 'Cyclomedia', 'Computer Vision Expert', 'Computer Vision Intern']"
48,"['Maastricht University', 'Maastricht Science Programme']"
