,University
0,"['Erasmus University Rotterdam', 'University of the Aegean', 'University of the Aegean']"
1,"['Université Grenoble Alpes', 'Université Grenoble Alpes', 'Lycée Champollion']"
2,"['The London School of Economics and Political Science (LSE)', 'Jesus and Mary College', 'MVN, Faridabad']"
3,[]
4,"['Tilburg University', 'Erasmus School of Law', 'Erasmus School of Economics']"
5,"['Teaching', 'Teacher Training', 'Lesson Planning']"
6,"['University of Groningen', 'University of Groningen', 'University of Groningen']"
7,"['University of Amsterdam', 'Leiden University', 'Koninklijk Conservatorium - Royal Conservatoire']"
8,"['TU Delft', 'Student-Assistent Quality Assurance TNW', 'Member of Faculty Student Council (FSC)']"
9,"['Erasmus University Rotterdam', 'International Baccalaureate']"
10,"['Radboud University', 'Radboud University', 'Radboud University']"
11,"['Delft University of Technology', 'Hanzehogeschool Groningen / Hanze University of Applied Sciences Groningen', 'Hanyang University']"
12,"['Delhi University', 'Delhi University', 'Delhi University']"
13,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Université Grenoble Alpes', 'University of Zagreb/Sveuciliste u Zagrebu']"
14,"['University of Groningen', 'International School of Frankfurt Rhein-Main']"
15,"['Programming', 'Matlab', 'Research']"
16,"['University of St Andrews', 'Istanbul University', 'Ondokuz Mayıs Üniversitesi']"
17,"['Utrecht University', 'Leibniz Institute for Baltic Sea Research', 'NIOZ Royal Netherlands Institute for Sea Research']"
18,"['University of Amsterdam', 'Vrije Universiteit Amsterdam (VU Amsterdam)', 'Inholland University of Applied Sciences']"
19,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Vrije Universiteit Amsterdam (VU Amsterdam)', 'Vrije Universiteit Amsterdam (VU Amsterdam)']"
20,"['University of Twente', 'SRM', 'SRM']"
21,"['University of Amsterdam', 'Humboldt-Universität zu Berlin', 'National University of Singapore']"
22,"['University of Amsterdam', 'University of Amsterdam', 'University of Amsterdam']"
23,['University of Puget Sound']
24,"['University of Groningen', 'University of Groningen', 'University of Groningen']"
25,"['University of Twente', 'University of Twente']"
26,"['University of Twente', 'University of Twente', 'Luleå University of Technology']"
27,"['Radboud University', 'Radboud University', 'Radboud University']"
28,[]
29,"['Saint Petersburg State University', 'Saint Petersburg State University', 'Maastricht Conservatory']"
30,"['Leiden University', 'Amsterdam University of Applied Sciences', 'University of Amsterdam']"
31,"['Tilburg University', 'Higher School of Economics', 'Moscow Center of Continuous Mathematical Education']"
32,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Università degli Studi di Milano-Bicocca']"
33,"['R', 'Shiny', 'Machine Learning']"
34,"['Erasmus University Rotterdam', 'Erasmus University Rotterdam', 'Avaye Tabiate Paydar Institute']"
35,"['Neural Networks and Deep Learning', 'Machine Learning']"
36,"['Radboud University', 'Radboud University', 'Radboud University']"
37,[]
38,"['University of Amsterdam', 'Open Universiteit', 'The University of Edinburgh']"
39,"['Erasmus School of Economics', 'Erasmus School of Law', 'Erasmus School of Economics']"
40,"['Católica Lisbon School of Business and Economics', 'University of Mannheim', 'Católica Lisbon School of Business and Economics']"
41,"['Amsterdam University of Applied Sciences', 'Delft University of Technology', 'Scala College']"
42,"['Research', 'Time Management']"
43,"['University of Antwerp', 'University of Antwerp', 'University of Antwerp']"
44,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Vrije Universiteit Amsterdam (VU Amsterdam)']"
45,"['University of Amsterdam', 'University of Amsterdam', 'University of Amsterdam']"
46,"['Fontys University of Applied Sciences', 'Fontys University of Applied Sciences', 'Fontys University of Applied Sciences']"
47,"['Turk Telekom', 'Revenue Management Senior Business Analyst', 'Postpaid Solutions Specialist']"
48,"['Leiden University', 'Leiden University', 'Marnix Gymnasium Rotterdam']"
49,"['Delft University of Technology', 'University of Birmingham', 'University of Birmingham']"
