,University
0,"['University of Groningen', 'Paston Sixth Form College', ""St. George's International School Cologne""]"
1,"['University of Twente', 'University of Twente', 'Holland International Study Centre']"
2,[]
3,"['Radboud University', 'RSG Lingecollege Tiel']"
4,"['Whittier College', 'St. Nicolaas Lyceum']"
5,[]
6,"['Nationale-Nederlanden', 'Balance Sheet Management - Capital & Treasury', 'Internal IFRS 17 consultant', 'Quantitative Developer']"
7,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Vrije Universiteit Amsterdam (VU Amsterdam)', 'Vrije Universiteit Amsterdam (VU Amsterdam)']"
8,[]
9,['University of Curaçao Dr. Moises da Costa Gomez (UoC)']
10,"['Youth Innovation Lab', 'Project Manager', 'GESI Focal Person', 'Fellowship Coordinator', 'Hollins University', 'Resident Assistant', 'Mentor']"
11,"['University of Amsterdam', 'Københavns Universitet - University of Copenhagen', 'University of Amsterdam']"
12,[]
13,[]
14,"[""King's College London"", 'Eindhoven University of Technology', 'Tilburg University']"
15,"['University of Amsterdam', 'University of Amsterdam', 'University of Amsterdam']"
16,"['University of Groningen', 'University of Groningen', 'University of Groningen']"
17,"['Erasmus School of Economics', 'Singapore Management University', 'Erasmus School of Economics']"
18,['University of the West of Scotland']
19,"['Payame Noor University', 'Shahrood University of Technology', 'Shahrood University of Technology']"
20,"['Radboud University', 'Radboud University']"
21,[]
22,"['Erasmus School of Economics', 'Erasmus School of Economics', 'université de Franche-Comté']"
23,"['Radboud University', 'Radboud University', 'Radboud University']"
24,"['Leiden University', 'Leiden University', 'Leiden University']"
25,"['Radboud University', 'Radboud University', 'Radboud University']"
26,"['University of Twente', 'University of Twente', 'Pius X College']"
27,"['Tilburg University', 'Eindhoven University of Technology']"
28,['Deep Learning Specialization']
29,"['University of Amsterdam', 'Vrije Universiteit Amsterdam (VU Amsterdam)', 'University of Amsterdam']"
30,"['University of Portsmouth', 'University of York']"
31,"['Eindhoven University of Technology', 'Eindhoven University of Technology']"
32,"['Leiden University', 'Leiden University', 'Leiden University']"
33,"['University of Amsterdam', 'The Chinese Language Institute (CLI)', 'Utrecht University']"
34,"['Leiden University', 'Universidad Carlos III de Madrid', 'Örebro University']"
35,"['Eindhoven University of Technology', 'BloomTech', 'Radboud University']"
36,"['University of Twente', 'University of Twente', 'University of Twente']"
37,"['University of Amsterdam', 'Radboud University', 'Heerbeeck College']"
38,"['University of Groningen', 'ITIS Feltrinelli', 'Nampa Senior High School']"
39,"['Leiden University', 'University of Gdansk', 'University of Gdansk']"
40,"['University of Amsterdam', 'University of Amsterdam', 'The University of Bonn']"
41,"['University of Groningen', 'University of Groningen', 'University of Groningen']"
42,"['Rotterdam School of Management, Erasmus University', 'University College Maastricht', 'UC Santa Barbara']"
43,"['Eindhoven University of Technology', 'Assistant Professor - Department of Applied Physics', 'University Researcher / NWO VENI fellow - Department of Applied Physics', 'Postdoctoral Researcher - Department of Applied Physics']"
44,"['University of Twente', 'University of Twente', 'University of Twente']"
45,"['University of Twente', 'University of Twente']"
46,"['University of Groningen', 'University of Groningen', 'Victoria University of Wellington']"
47,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
48,[]
49,['Certificate of Proficiency in English']
