,job_type
0,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
1,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
2,[]
3,[]
4,"['Lyft Driver', 'Server Administrator', 'Sports Official', 'Recreational Sports Official']"
5,"['Communications Consultant', 'Project Manager', 'Organizer', 'Program Site Coordinator']"
6,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
7,[]
8,[]
9,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
10,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
11,[]
12,[]
13,"['Lyft Driver', 'Server Administrator', 'Sports Official', 'Recreational Sports Official']"
14,"['Communications Consultant', 'Project Manager', 'Organizer', 'Program Site Coordinator']"
15,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
16,[]
17,"['Lecturer', 'Lecturer', 'Student Assistant', 'Student Ambassador']"
18,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
19,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
20,[]
21,[]
22,"['Lyft Driver', 'Server Administrator', 'Sports Official', 'Recreational Sports Official']"
23,"['Communications Consultant', 'Project Manager', 'Organizer', 'Program Site Coordinator']"
24,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
25,[]
26,"['Lecturer', 'Lecturer', 'Student Assistant', 'Student Ambassador']"
27,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
28,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
29,[]
30,[]
31,"['Lyft Driver', 'Server Administrator', 'Sports Official', 'Recreational Sports Official']"
32,"['Communications Consultant', 'Project Manager', 'Organizer', 'Program Site Coordinator']"
33,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
34,[]
35,"['Lecturer', 'Lecturer', 'Student Assistant', 'Student Ambassador']"
36,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
37,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
38,[]
39,[]
40,"['Lyft Driver', 'Server Administrator', 'Sports Official', 'Recreational Sports Official']"
41,"['Communications Consultant', 'Project Manager', 'Organizer', 'Program Site Coordinator']"
42,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
43,[]
44,"['Lecturer', 'Lecturer', 'Student Assistant', 'Student Ambassador']"
45,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
46,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
47,[]
48,[]
49,"['Lyft Driver', 'Server Administrator', 'Sports Official', 'Recreational Sports Official']"
50,"['Communications Consultant', 'Project Manager', 'Organizer', 'Program Site Coordinator']"
51,"['Bachelors Degree Applied Mathematics', 'Bachelors Degree Applied Physics', 'Propedeuse Applied Mathematics']"
52,[]
53,"['Lecturer', 'Lecturer', 'Student Assistant', 'Student Ambassador']"
54,"['Data Scientist', 'Supply Chain Data Scientist', 'Data Scientist', 'Mathematics Analyst', 'Assistant Professor']"
55,"['Junior Designer', 'Graduation intern', 'Styling & Product Development & Innovation', 'Intern Fashion Designer']"
56,[]
