,company
48,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
49,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
50,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
51,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
52,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
53,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
54,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
55,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
56,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
57,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
58,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
59,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
60,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
61,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
62,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
63,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
64,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
65,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
66,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
67,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
68,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
69,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
70,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
71,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
72,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
73,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
74,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
75,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
76,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
77,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
78,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
79,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
80,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
81,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
82,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
