,company
0,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
1,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
2,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
3,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
4,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
5,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
6,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
7,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
8,[]
9,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
10,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
11,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
12,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
13,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
14,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
15,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
16,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
17,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
18,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
19,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
20,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
21,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
22,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
23,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
24,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
25,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
26,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
27,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
28,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
29,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
30,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
31,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
32,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
33,"['Eindhoven University of Technology', 'Eindhoven University of Technology', 'Eindhoven University of Technology']"
34,"[""Master's degree, Aerodynamics"", 'Minor, Modern Physics', ""Bachelor's degree, Aerospace Engineering""]"
35,"['Technische Universiteit Delft · Full-time', 'Leiden Science - Universiteit Leiden · Part-time', '6 yrs 1 mo', 'Full-time', 'Part-time', 'Part-time', 'Lorentz Center', 'Leiden Science - Universiteit Leiden']"
36,"['Milence · Full-time', 'KLM Royal Dutch Airlines · Full-time', 'Tata Consultancy Services · Full-time', 'GLI Europe B.V.', 'Lingayas University, Faridabad']"
37,"['Emergo Textile Projects (ETP) · Part-time', 'Saxion Lectoraat Sustainable & Functional Textiles  · Internship', 'MAGIC Bodyfashion · Internship', 'Emergo Textile Projects (ETP) · Internship']"
38,"[""Master's Degree, Financial and Teaching Mathematics"", ""Master's degree, Mathematics and Statistics"", 'CAE, English Language']"
39,"[""Master's Degree, Theoretical Physics"", 'Honours programme, Young Leaders League', 'Erasmus Exchange, Theoretical Physics']"
40,"['8 yrs 11 mos', 'Lyft', 'homemade server', 'North Carolina High School Athletics Association', 'Recreational Sports in Fayetteville']"
41,"['2 yrs 1 mo', 'Full-time', 'AlisonIdeas · Freelance', 'Verbier Art Summit', 'National Network of Abortion Funds', 'Brookline Learning Center']"
