,company
0,"['SMT MOTORS (HOVETON) LTD · Internship', 'Ford Of Europe GmbH · Internship', 'n.n.a.x. I.T. Lösungen · Internship']"
1,"['Unidad Educativa Fiscomisional ""Daniel Álvarez Burneo""\u200b · Part-time', 'Thuisbezorgd.nl · Part-time', 'ETE - Elastomer Technology and Engineering · Internship', 'Cooperativa ""24 de Mayo"" - ""Terpel"" Gas Station  · Internship']"
2,"[""Bachelor's degree, Applied Mathematics"", ""Bachelor's degree, Industrial product design"", 'High School Diploma, Higher General Continued Education']"
3,"['Contract · 2 yrs 3 mos', 'Contract · 11 mos', 'Radboud University · Contract', 'Radboud University · Contract']"
4,"['Special Olympics Southeast Los Angeles · Part-time', 'Sloepdelen BV · Part-time', 'Drive-Itt  · Part-time', 'Worldmapping  · Full-time', 'AVV Swift · Part-time']"
5,"['Master of Science (MSc), Applied Mathematics', 'Bachelor of Science (BSc), Bachelor of Science Applied Physics', 'Bachelor of Science (BSc), Bachelor of Science Applied Mathematics']"
6,[]
7,['De Brauw Blackstone Westbroek · Full-time']
8,"['Master of Science - MSc, Mathematics', 'Master of Science - MSc, Physics & Astronomy: Theoretical Physics (track)', 'Bachelor of Science - BSc, Mathematics']"
9,"['Part-time · 10 mos', 'Gouverneur Lauffer VSBO · Full-time', 'AAA Quality · Full-time']"
10,[]
11,"['3DUniversum · Full-time', 'praktijk TEL | Bijles, Studiebegeleiding en Remedial Teaching · Part-time', 'Theodotion · Part-time', 'iPass · Part-time']"
12,['Giacomo’s recent posts and comments will be displayed here.']
13,"['Master of Science - MS, Geneeskunde', ""Bachelor's degree, Medicine"", 'Half Minor Immunotherapy of Cancer, Medicine']"
14,"['Mendeley', '4 yrs 2 mos', 'Eindhoven University of Technology', 'EuFlex Technificent', 'Grupo Future Healthcare · Internship']"
15,"['Apple · Full-time', 'Google', 'Google']"
16,"['UMCG', 'University of Groningen', 'Amsterdam University of Applied Sciences', 'Nederlandse Spoorwegen', 'University of Groningen']"
17,"['Erasmus School of Economics Rotterdam · Part-time', 'Spotta', 'Albert Heijn · Part-time', 'FRL Verspreidingen']"
18,"['15 yrs 8 mos', 'Full-time', 'Full-time', 'Belhaven Brewery', 'The Craig Dhu', ""Craig's Corner Shop""]"
19,"['QMB, a retail bank in Iran', 'Shahrood University of Technology', 'Shahrood Non-Profit Higher Education Institute', 'Islamic Azad University, Shahrood Branch']"
20,"['9 yrs 6 mos', 'Amazon · Internship', '4 yrs 10 mos', 'Radboudumc', 'MOMALA']"
21,[]
22,"['Full-time · 7 mos', 'Full-time · 1 yr 2 mos', '4 yrs']"
23,['Radboud University']
24,"['Teylingen College Leeuwenhorst · Full-time', 'Northgo College · Internship', 'Self Employed · Freelance', 'Leiden University Medical Center · Internship', 'Leiden University Medical Center · Internship']"
25,"['4 yrs 2 mos', '4 yrs 7 mos', 'VKPS Studiebegeleiding  · Part-time']"
26,"['KNHB', 'TNO · Full-time', '3 yrs 8 mos', 'A.D.S.K.V. Slagvaardig']"
27,['Pipple · Internship']
28,"['Doctor of Philosophy, PhD', ""Master's Thesis in Industrial Engineering"", ""Master's Degree in Industrial Engineering""]"
29,"['Spark904 B.V.', 'Open Kitchen Labs', 'Vrije Universiteit Amsterdam (VU Amsterdam) · Part-time', 'University of Amsterdam · Part-time', 'Lelypharma · Full-time']"
30,"['Full-time · 2 yrs 7 mos', 'Collège Champittet', 'GEMS World Academy Switzerland', 'The British International School Shanghai, Puxi', 'Woolmer Hill School']"
31,"['University of Bern', 'Vrije Universiteit Amsterdam', '10 yrs 10 mos', 'University of Basel']"
32,"['Leiden University · Full-time', 'LUSV Badminton/BSC Leiden · Part-time', 'Universiteit Leiden · Contract']"
33,"['HU University of Applied Sciences Utrecht (Hogeschool Utrecht) · Full-time', 'Rotterdam University of Applied Sciences · Full-time', 'Nationale-Nederlanden · Full-time', '1 yr 8 mos', 'Avanade']"
34,"['ORTEC - Optimize Your World', 'KOTUG OptiPort · Internship', 'Erasmus Student Network Sweden', 'None']"
35,"['System4.nl · Full-time', 'Connect Our Kids · Internship', 'HEMA · Full-time', 'UMC Utrecht · Part-time']"
36,"['Part-time · 6 yrs 2 mos', 'Orikami · Internship', 'Twents Carmel College · Part-time', 'Twents Carmel College · Internship', 'D.S.V. de Skeuvel · Part-time']"
37,"['Soulve Innovations · Part-time', 'Heerbeeck College', 'Voeding & Dieet Best · Freelance']"
38,"['Part-time · 6 mos', 'Fysisch-Mathematische Faculteitsvereniging · Full-time', 'Self-employed', 'Just Eat Takeaway.com · Part-time', '10 mos', 'Full-time']"
39,"['Full-time · 3 yrs 6 mos', 'Leiden University', 'Leiden University College The Hague', 'University of Gdansk', 'Polsko Japońska wyższa szkoła technik komputerowych']"
40,"['Stanford Existential Risk Initiative · Full-time', 'Universiteit van Amsterdam', 'Detecon International GmbH', 'QAware GmbH', 'University of Bonn']"
41,"['TNO', '11 yrs 11 mos', 'OSG Piter Jelles', 'TNO']"
42,"['Breathe', 'Aberkyn · Internship', 'GE Grid Solutions', 'Goleman EI', 'Bike Company']"
43,[]
44,"['Keypoint Consultancy · Full-time', 'StudentsPlus Bijlessen', '1 yr', 'Full-time', 'Internship', 'Studiebegeleiding Voor en Door Leerlingen (VDL)', 'Eetcafe Jimmy']"
45,"['University of Twente · Full-time', 'TSC Crowd Management · Internship']"
46,"['Volt Gelderland · Part-time', 'ANNE | Adviseurs voor Noordoost-Nederland', 'University of Groningen · Full-time', 'Leiden Law School · Part-time', 'Addiciton Care provider in the Northern Netherlands · Full-time']"
47,"['Mitra · Self-employed', 'TU/e Honors Academy', 'TU/e · Part-time', 'B&R Beurs Eindhoven Investment Society · Part-time', 'IMC Trading · Internship']"
48,"[""Bachelor's Honors College, Astronomy and Astrophysics"", 'Bachelor of Science - BSc, Astronomy', 'International Baccalaureate, High School/Secondary Diplomas and Certificates']"
49,"['Master of Science (MSc), Mathematics', ""Bachelor's degree, Mathematics"", 'Gymnasium Diploma, Nature and Technology']"
