,University
0,"['Eindhoven University of Technology', 'North-West University / Noordwes-Universiteit', 'North-West University / Noordwes-Universiteit']"
1,"['Vrije Universiteit Amsterdam (VU Amsterdam)', 'Hogeschool Windesheim']"
2,[]
3,"['University of Twente', 'University of Twente', 'Zuyderzee College Emmeloord']"
4,"['Delft University of Technology', 'Delft University of Technology', 'Amsterdam University College']"
5,"['Delft University of Technology', 'Delft University of Technology']"
6,['IELTS']
7,"['Hanzehogeschool Groningen / Hanze University of Applied Sciences Groningen', 'University of Warsaw', 'High School of Mathematics ""Dr Petar Beron"" - Varna']"
8,"['Maastricht University The Maastricht MultiModal Molecular Imaging (M4I) Institute', 'Researcher', 'Research Intern']"
9,"['University of Twente', 'University of Twente', 'University of Twente']"
10,"['Leiden University', 'Hunan University', 'Hunan University']"
11,[]
12,"['Erasmus University Rotterdam', 'Utrecht University', 'International School Hilversum']"
13,"['Physics', 'LaTeX', 'Mathematics']"
14,"['Fayetteville State University', 'Fayetteville Technical Community College']"
15,"['University of Amsterdam', 'Boston University']"
16,"['Engels', 'Nederlands', 'SAS-programmering']"
17,[]
18,"['Leiden University', 'Leiden University', 'Leiden University']"
19,"['Delhi University', 'Delhi University', 'KGSKV']"
20,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
21,[]
22,"['Physics', 'LaTeX', 'Mathematics']"
23,"['Fayetteville State University', 'Fayetteville Technical Community College']"
24,"['University of Amsterdam', 'Boston University']"
25,"['Engels', 'Nederlands', 'SAS-programmering']"
26,[]
27,"['Leiden University', 'Leiden University', 'Leiden University']"
28,[]
29,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
30,[]
31,"['Physics', 'LaTeX', 'Mathematics']"
32,"['Fayetteville State University', 'Fayetteville Technical Community College']"
33,"['University of Amsterdam', 'Boston University']"
34,"['Engels', 'Nederlands', 'SAS-programmering']"
35,[]
36,"['Leiden University', 'Leiden University', 'Leiden University']"
37,"['Delhi University', 'Delhi University', 'KGSKV']"
38,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
39,[]
40,"['Physics', 'LaTeX', 'Mathematics']"
41,"['Fayetteville State University', 'Fayetteville Technical Community College']"
42,"['University of Amsterdam', 'Boston University']"
43,"['Engels', 'Nederlands', 'SAS-programmering']"
44,[]
45,"['Leiden University', 'Leiden University', 'Leiden University']"
46,"['Delhi University', 'Delhi University', 'KGSKV']"
47,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
48,[]
49,"['Physics', 'LaTeX', 'Mathematics']"
50,"['Fayetteville State University', 'Fayetteville Technical Community College']"
51,"['University of Amsterdam', 'Boston University']"
52,"['Engels', 'Nederlands', 'SAS-programmering']"
53,[]
54,"['Leiden University', 'Leiden University', 'Leiden University']"
55,"['Delhi University', 'Delhi University', 'KGSKV']"
56,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
57,[]
58,"['Physics', 'LaTeX', 'Mathematics']"
59,"['Fayetteville State University', 'Fayetteville Technical Community College']"
60,"['University of Amsterdam', 'Boston University']"
61,"['Engels', 'Nederlands', 'SAS-programmering']"
62,[]
63,"['Leiden University', 'Leiden University', 'Leiden University']"
64,"['Delhi University', 'Delhi University', 'KGSKV']"
65,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
66,[]
67,"['Physics', 'LaTeX', 'Mathematics']"
68,"['Fayetteville State University', 'Fayetteville Technical Community College']"
69,"['University of Amsterdam', 'Boston University']"
70,"['Engels', 'Nederlands', 'SAS-programmering']"
71,[]
72,"['Leiden University', 'Leiden University', 'Leiden University']"
73,"['Delhi University', 'Delhi University', 'KGSKV']"
74,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
75,[]
76,"['Physics', 'LaTeX', 'Mathematics']"
77,"['Fayetteville State University', 'Fayetteville Technical Community College']"
78,"['University of Amsterdam', 'Boston University']"
79,"['Engels', 'Nederlands', 'SAS-programmering']"
80,[]
81,"['Leiden University', 'Leiden University', 'Leiden University']"
82,"['Delhi University', 'Delhi University', 'KGSKV']"
83,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
84,[]
85,"['Physics', 'LaTeX', 'Mathematics']"
86,"['Fayetteville State University', 'Fayetteville Technical Community College']"
87,"['University of Amsterdam', 'Boston University']"
88,"['Engels', 'Nederlands', 'SAS-programmering']"
89,[]
90,"['Leiden University', 'Leiden University', 'Leiden University']"
91,"['Delhi University', 'Delhi University', 'KGSKV']"
92,"['Saxion University of Applied Sciences', 'School of Mathematics Baba Tonka']"
93,[]
94,"['Physics', 'LaTeX', 'Mathematics']"
95,"['Fayetteville State University', 'Fayetteville Technical Community College']"
96,"['University of Amsterdam', 'Boston University']"
97,"['Engels', 'Nederlands', 'SAS-programmering']"
98,[]
99,"['Leiden University', 'Leiden University', 'Leiden University']"
