,company
0,"['NN · Full-time', 'de Volksbank', 'Rabobank Utrecht e.o.', 'INTERSALONICA']"
1,"['Schréder · Permanent', 'CDG38 · Contract', 'Carrefour · Part-time', 'CosmEtika · Internship', 'Carrefour · Permanent']"
2,"['6 yrs 6 mos', 'Full-time', 'Full-time', 'National service scheme', 'Sri Sai Prerna & Vikas Kendra']"
3,"['MSc, Complexity and Economic Behaviour', 'Bachelor of Science - BSc, Econometrics', 'Bachelor of Arts - BA, Italië Studies']"
4,"['Erasmus School of Law · Part-time', 'Gupta Strategists · Part-time', 'Online Academie B.V. · Part-time', 'Study Association In Duplo · Full-time', '2 yrs 11 mos']"
5,"['1, Mathematics', ""Bachelor's degree, Secondary Education and Teaching"", 'Master of learning']"
6,"['IBM · Full-time', 'Hanzehogeschool Groningen / Hanze University of Applied Sciences Groningen · Part-time', 'Part-time · 1 yr 11 mos', 'Freelancer · Freelance', 'Telemarket · Full-time']"
7,"['Escaperoom Leiden · Part-time', 'Lyceo · Part-time', '2 yrs 5 mos', 'Part-time', 'Freelance']"
8,[]
9,"['Erasmus School of Economics · Part-time', 'The Swan School · Contract', 'Elab Education Laboratory  · Contract']"
10,"['The University of Sheffield · Full-time', '4 yrs 11 mos', 'W.S.V. Desda', 'W.S.V. Desda']"
11,"['Formula Student Team Delft', 'BD Kiestra · Internship', 'Hanzehogeschool Groningen / Hanze University of Applied Sciences Groningen', '9 mos']"
12,"['Government School, New Delhi · Permanent', 'Presidium International School · Permanent']"
13,"['Aurelius Life', 'Self-Employed', 'NBT Analytics BV', 'CNCR, Center for Neurogenomics & Cognitive Research', 'University of Zagreb']"
14,['NUMBER26 GmbH']
15,"['Doctor of Philosophy - PhD, Applied Mathematics', 'Master’s Degree, Mathematical Physics and Computational Mechanics', 'Master’s Degree, Computational and Applied Mathematics']"
16,"['Essent', 'Eindhoven University of Technology', 'University of St Andrews', 'Ministry of Education of Turkey']"
17,"['NIOZ Royal Netherlands Institute for Sea Research', '5 yrs 2 mos', 'Part-time', 'private']"
18,"['Part-time · 2 yrs 4 mos', 'Research Group Robotics, Gebouw-C · Internship', '10 mos', 'Sollicitatiedokter.nl']"
19,"['1 yr 6 mos', 'Full-time', 'Full-time', 'Contract', 'Bijlesbureau StudentsPlus Nederland · Part-time', 'Self-employed', 'Paviljoen Smit-Bokkum · Part-time']"
20,"['11 yrs 6 mos', 'Full-time', 'Full-time', 'Full-time', 'Gemeente Wierden', ""Ev'Hands"", 'ROC van Twente', 'ROC van Twente']"
21,"['PwC Deutschland · Internship', 'arago GmbH · Internship']"
22,"['Universiteit van Amsterdam', 'Universiteit van Amsterdam', 'Universiteit van Amsterdam', 'Part-time · 11 mos']"
23,"['Nederlandse Spoorwegen', 'Essentium | Talent in Projectbeheersing', 'University of Amsterdam']"
24,"['University of Groningen · Full-time', '4 yrs 10 mos', '3 yrs 5 mos']"
25,"['Part-time · 4 yrs 11 mos', 'Dat.mobility · Internship', 'Sports Umbrella Twente · Part-time', 'Navitas · Part-time', 'BRAINS Center for Brain-Inspired Nano Systems, University of Twente · Part-time']"
26,"['Sweco Nederland', 'Provincie Fryslân', 'Marine Scotland Science · Internship', 'Witteveen+Bos', 'Ministry of Infrastructure and Water Management']"
27,"['NVAO · Freelance', '7 yrs 4 mos', 'Part-time', 'Netherlands-Asia Honours Summer School · Part-time', 'NWO (Dutch Research Council) · Freelance', 'Qanu · Freelance']"
28,[]
29,"['T-Systems Russia · Full-time', 'Freelance', 'St. Petersburg State Unitary Enterprise ""St. Petersburg Information and Analytical Center"" · Full-time', 'Logistic company ""Vozovoz"" · Full-time', 'Jaani Kirik concert hall · Full-time']"
30,"['CGI Nederland · Full-time', '5 yrs', 'University of Amsterdam', 'TNO', 'CSIRO']"
31,"['Full-time · 1 yr 6 mos', 'Lyceo · Full-time', 'Sidekix', 'Harvard Medical School and Massachusetts General Hospital', 'Ready To School']"
32,"['CCmath BV', 'Freelance']"
33,"[""Master's degree, Financial Economics"", ""Bachelor's degree, Business administration"", ""Bachelor's degree, Applied Mathematics""]"
34,"['Erasmus School of History, Culture and Communication (ESHCC)', 'Erasmus University Rotterdam', 'Eindhoven University of Technology · Full-time', 'Erasmus University Rotterdam', 'Sharif University of Technology']"
35,"['Doctorate, Engineering (PDEng), Mathematics for Industry', 'Researcher, Meromorphic functions', ""Master's degree, Mathematics""]"
36,"['Da Vinci · Full-time', 'EIC High Energy B.V. · Part-time', 'Radboud University Nijmegen · Part-time']"
37,"[""Bachelor's degree, Economics and Business Economics"", 'Erasmus Exchange, Economics and Business Economics', 'VWO Diploma (Pre-university Secondary Education), Nature and Health, Nature and Engineering']"
