,job_type
0,"['Senior model validator', 'Model validator', 'Trainee advanced analytics young professional program', 'Assistant Actuary']"
1,"['Data administrator', 'Data analyst', 'Reception assistant', 'Database manager', 'Cashier']"
2,"['Volunteer', 'Volunteer']"
3,[]
4,"['Board Member (student)', 'Working Student', 'Legal Compliance Officer', 'Commissioner of External Affairs']"
5,[]
6,"['Full Stack Developer', 'Shift Leader', 'Mathematics Tutor', 'Sale Agent']"
7,"['Gamehost', 'Bijlesdocent']"
8,[]
9,"['Teaching Assistant', 'Personal Tutor', 'Consultant and Mentor']"
10,"['PhD student', 'Secretaris Nationaal Wiskundesymposium', 'Coördinator promotie']"
11,"['Accumulator Management System Engineer', 'R&D Intern', 'Student Ambassador']"
12,"['Teacher', 'Middle School Mathematics Teacher']"
13,"['Data Scientist', 'Student tutor in mathematics', 'Scientific developer', 'Early Stage Researcher (Marie Curie)', 'Teaching assistant']"
14,['Analyst Intern']
15,[]
16,"['Quant', 'PhD Researcher', 'MSc Intern', 'Mathematics Teacher']"
17,"['PhD Student', 'Private Tutor']"
18,"['Robotics Engineer', 'Technical Support']"
19,"['Tutor in Mathematics A, B and D', 'Tutor in Mathematics A, B and D', 'Dishwasher']"
20,"['Pollster', ""Bachelor's thesis Dauwpop"", 'Internship', 'Student researcher']"
21,"['Forensics Technology Intern', 'Data Science Intern']"
22,"['PhD Candidate Mathematics', 'TA Group Theory', 'TA Real Analysis']"
23,"['Sepcificatiemanager, gedetacheerd via Essentium', 'Specificatiemanager, gedetacheerd via Essentium', 'MSc Student']"
24,['Researcher PHD Student']
25,"['Applied Mathematics Intern', 'Treasurer', 'Mathematics Teacher', 'Programmer']"
26,"['Adviseur geohydrologie', '(geo)hydroloog', 'MSc thesis', 'Project assistant', 'BSc thesis']"
27,"['Student Panel Member', 'Netherlands-Asia Honours Summer School Participant', 'Student Member Comenius Panel', 'Student Visitation Panel Member']"
28,[]
29,"['Business Analyst', 'Lecturer', 'Information Technology Analyst', 'Business Analyst', 'Music Journalist and PR manager']"
30,"['Consultant', 'PhD Candidate', 'Innovator', 'Intern']"
31,"['Business Analyst', 'Data Analyst', 'Graduate Research Intern', 'Mathematics Teacher']"
32,"['Master Internship Project in Mathematics', 'Private Tutor']"
33,[]
34,"['Incoming exchange coordinator', 'Library Front Desk Staff', 'Program Coordinator', 'Library Front Desk Staff', 'Teacher Assistant']"
35,[]
36,"['Quantitative Researcher', 'Data Analyst', 'Teaching Assistant']"
37,[]
38,"['Catering/dining & Event host', 'Host/ Promotional work / Catering & dining', 'Temporary worker', 'Private Tutor']"
39,"['Data analist and software developer', 'Tutor', 'Food Server']"
40,"['Supervisor', 'Banking Supervision Trainee', 'Head Of Operations & Quality Department', 'Summer Intern']"
41,"['Student Tutor', 'Student Assistant at AUAS', 'Student Assistant', 'Student Chauffeur']"
42,[]
43,"['Lecturer In Mathematics', 'Research Scientist', 'Assisting academic personnel']"
44,"['High school tutor in mathematics and chemistry', 'Sales Employee', 'Seasonal assisten', 'Sales Employee', 'Cashier']"
45,"['Teaching Assistant', 'Teaching Assistant', 'Private Tutor', 'Freelance', 'Insider']"
46,[]
47,"[""Mevlüt hasn't posted lately""]"
48,"['Student Assistant', 'Assistent docent', 'Mathematics Tutor', 'Mathematics Tutor']"
49,"['Research Scientist', 'Postdoctoral Researcher', 'Full time researcher, PhD student', 'Student Internship/Master thesis']"
