,job_titles,companies,images,locations,salaries
0,Artificial Intelligence Engineer,MT Engineering,https://media.glassdoor.com/sql/3079558/mt-engineering-squarelogo-1637581189246.png,Gelderland,
1,Medical Product Development Engineer,NLC,https://media.glassdoor.com/sql/1255122/nlc-squareLogo-1674486895754.png,Ede,
2,Process Engineer,Solvay,https://media.glassdoor.com/sql/5509/solvay-squareLogo-1629824510444.png,Linne,
3,AI SPECIALIST,Advidi,https://media.glassdoor.com/sql/756441/advidi-squarelogo-1552661445363.png,Amsterdam,
4,Systems Engineer - The Netherlands,Aidence.com,https://media.glassdoor.com/sql/4066476/aidence-squarelogo-1630587666902.png,Netherlands,€70K - €100K (Employer est.)
5,Test engineer | Industrial IoT technology | Artificial Intelligence| Eindhoven | Salary up to €60k,Layer,https://media.glassdoor.com/sql/758990/layer-squarelogo-1438288181957.png,Eindhoven,€60K (Employer est.)
6,QA/IS Specialist,Aidence.com,https://media.glassdoor.com/sql/4066476/aidence-squarelogo-1630587666902.png,Netherlands,€60K - €70K (Employer est.)
7,Machine Learning Engineer,LUMC,https://media.glassdoor.com/sql/499589/leiden-university-medical-center-squarelogo-1426591944941.png,Leiden,€5K (Employer est.)
8,Deep Learning Engineer / Scientist,TMC,https://media.glassdoor.com/sql/773880/tmc-netherlands-squareLogo-1661351101892.png,Netherlands,
9,Data Engineer,GX Software,https://media.glassdoor.com/sql/1913841/gx-software-squarelogo-1554804738924.png,Nijmegen,€3K - €5K (Employer est.)
10,Technical Portfolio Manager,Aidence.com,https://media.glassdoor.com/sql/4066476/aidence-squarelogo-1630587666902.png,Netherlands,
11,Cognitive Implementation Engineer Artificial Intelligence,Amelia,https://media.glassdoor.com/sql/101271/amelia-squareLogo-1623430864868.png,Amsterdam,
13,Big Data Engineer,PANCOMPANY,https://media.glassdoor.com/sql/1594762/pancompany-squarelogo-1529924287795.png,Netherlands,€55K - €110K (Employer est.)
14,Technical Writer,Yokoy,https://media.glassdoor.com/sql/4394024/yokoy-squareLogo-1611934258054.png,Amsterdam,
15,ASML Computer Science And Data Engineering Day 2023,ASML,https://media.glassdoor.com/sql/5781/asml-squareLogo-1633542902961.png,Veldhoven,
16,Product Analyst,Cognizant,https://media.glassdoor.com/sql/8014/cognizant-technology-solutions-squareLogo-1651131366751.png,Amsterdam,
17,DeltaV Automation Engineer,Capgemini,https://media.glassdoor.com/sql/3803/capgemini-squareLogo-1674045611518.png,Leiden,
18,Senior SCADA Engineer,Yokogawa,https://media.glassdoor.com/sql/8192/yokogawa-electric-squarelogo.png,Amersfoort,
19,PhD in automated analysis of coronary OCT images,Amsterdam UMC,https://media.glassdoor.com/sql/474928/academic-medical-center-squarelogo-1426591808307.png,Amsterdam,
20,Junior Quality Engineer,Accenture,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,Amsterdam,
21,Engineer for sustainable aviation experiment,TU Delft,https://media.glassdoor.com/sql/150407/delft-university-of-technology-squarelogo-1407303199964.png,Delft,€32.00 - €40.00 Per Hour(Employer est.)
22,Data Scientist Finance Analytics,Rabobank,https://media.glassdoor.com/sql/3977/rabobank-squarelogo.png,Utrecht,
23,Assistant Professor Aircraft Noise,TU Delft,https://media.glassdoor.com/sql/150407/delft-university-of-technology-squarelogo-1407303199964.png,Delft,€38.00 - €40.00 Per Hour(Employer est.)
24,DevOps Engineer,Accenture,https://media.glassdoor.com/sql/4138/accenture-squarelogo-1603988625135.png,Amsterdam,
25,Production Engineer,IG Design Group,https://media.glassdoor.com/sql/12499/ig-design-group-squarelogo-1505848691453.png,Hoogeveen,
26,Compiler Software Engineer,Synopsys,https://media.glassdoor.com/sql/2143/synopsys-squarelogo-1529336950881.png,Leuven,
27,Programma & Project Coördinator Professional Education,Euflex,https://media.glassdoor.com/sql/2582336/euflex-squarelogo-1585561934870.png,Eindhoven,
28,Afstudeerstage HBO-ICT,OVSoftware,https://media.glassdoor.com/sql/739929/ovsoftware-squarelogo-1610516852340.png,Nieuwegein,
