job_titles,companies,images,locations,salaries
PhD candidate 'Big Sleep Data',Radboudumc,https://media.glassdoor.com/sql/531731/radboud-university-nijmegen-medical-centre-squarelogo-1426590224031.png,Nijmegen,nan
Systems Engineer - The Netherlands,Aidence.com,https://media.glassdoor.com/sql/4066476/aidence-squarelogo-1630587666902.png,Netherlands,€70K - €100K (Employer est.)
Assistant professor Biomedical Engineering,Erasmus MC,https://media.glassdoor.com/sql/333750/erasmus-mc-squarelogo-1429596126603.png,Rotterdam,nan
PhD student Stress-in-Action project,Erasmus MC,https://media.glassdoor.com/sql/333750/erasmus-mc-squarelogo-1429596126603.png,Rotterdam,nan
Post-doctoral researcher/ computational immunologist,UMCG,https://media.glassdoor.com/sql/231634/umcg-squarelogo.png,Groningen,nan
Postdoc position Reproductive Medicine,UMCG,https://media.glassdoor.com/sql/231634/umcg-squarelogo.png,Groningen,nan
