job_titles,companies,images,locations,salaries
Physics and Mathematics Teacher,Amity International School Amsterdam,https://media.glassdoor.com/sql/6015303/amity-international-school-amsterdam-squarelogo-1646825734109.png,Amsterdam,nan
Teacher Mathematics,Adhocdocent,https://media.glassdoor.com/sql/3049623/adhocdocent-squarelogo-1634110459401.png,South Holland,nan
"Middle School Math Teacher (full-time position, SY 2023-2024)",American School of The Hague,https://media.glassdoor.com/sql/2028077/american-school-of-the-hague-squarelogo-1629385619313.png,Wassenaar,nan
Teacher of IB MYP & DP Mathematics - 1.0FTE,International School of The Hague,https://media.glassdoor.com/sql/1341204/international-school-of-the-hague-squarelogo-1584965185378.png,Netherlands,€3K - €5K (Employer est.)
(Student) Teacher Mathematics,Studytree,https://media.glassdoor.com/sql/4726124/studytree-squarelogo-1636708908669.png,Amsterdam,nan
Teacher Support Officer / Education advisor,TU Eindhoven,https://media.glassdoor.com/sql/156538/tu-e-squarelogo-1413235358456.png,Eindhoven,€3K (Employer est.)
Teacher Of Mathematics In English Den Haag,European School The Hague Secondary,nan,The Hague,€1K (Employer est.)
Full professor in Mathematics of Artificial Intelligence (0.8-1.0 fte),Universiteit Leiden,https://media.glassdoor.com/sql/239477/leiden-university-squarelogo.png,Leiden,€6K (Employer est.)
Teacher Of Mathematics Haren - Groningen,International School Groningen,https://media.glassdoor.com/sql/231634/umcg-squarelogo.png,Haren,nan
Mathematics Teacher,Het Stedelijk Lyceum,https://media.glassdoor.com/sql/2908325/het-stedelijk-lyceum-squarelogo-1571748775394.png,Enschede,nan
TT Assistant Professor in Mathematics Education or Mathematics and Technology Education,Rijksuniversiteit Groningen,https://media.glassdoor.com/sql/305779/university-of-groningen-squarelogo.png,Groningen,€6K (Employer est.)
Docent Wiskunde Fulltime St. Eustatius - Caribisch Nederland,Gwendoline van Puttenschool,nan,Netherlands,nan
"Assistant, Associate, and Full Professors - Mathematics and Computer Science",TU Eindhoven,https://media.glassdoor.com/sql/156538/tu-e-squarelogo-1413235358456.png,Eindhoven,nan
ERC-funded PhD candidate in Molecular Plant Immunity,Universiteit Leiden,https://media.glassdoor.com/sql/239477/leiden-university-squarelogo.png,Leiden,nan
Assistant or Associate Professor Practical Education Molecular Life Sciences,Universiteit Utrecht,nan,Utrecht,nan
Lecturer Science and Society,Rijksuniversiteit Groningen,https://media.glassdoor.com/sql/305779/university-of-groningen-squarelogo.png,Groningen,€5K (Employer est.)
Junior lecturer (juniordocent) Master’s Programme Bioinformatics and Systems Biology,Vrije Universiteit Amsterdam,https://media.glassdoor.com/sql/140437/free-university-amsterdam-squarelogo.png,Amsterdam,€5K (Employer est.)
Junior Program Coordinator M&CS,TU Eindhoven,https://media.glassdoor.com/sql/156538/tu-e-squarelogo-1413235358456.png,Eindhoven,€3K (Employer est.)
PhD candidate/Lecturer in Economics,Universiteit Utrecht,nan,Utrecht,nan
Assistant Professor in Atmospheric Isotope Research,Universiteit Utrecht,nan,Utrecht,nan
GMAT Quantitative Teacher in Amsterdam (+-4 hrs/week),Studytree,https://media.glassdoor.com/sql/4726124/studytree-squarelogo-1636708908669.png,Amsterdam,nan
Assistant/Associate Professor Machine Learning and AI in e-Health,Universiteit Twente,https://media.glassdoor.com/sql/320105/university-of-twente-squarelogo-1433290124874.png,Enschede,€4K - €7K (Employer est.)
"University Teachers Mathematics, Data Science and Computer Science",TU Eindhoven,https://media.glassdoor.com/sql/156538/tu-e-squarelogo-1413235358456.png,Eindhoven,nan
Assistant/Associate Professor Causal Reinforcement Learning,TU Delft,https://media.glassdoor.com/sql/150407/delft-university-of-technology-squarelogo-1407303199964.png,Delft,€32.00 - €40.00 Per Hour(Employer est.)
Assistant Professor Integrative data science with focus on health,TU Delft,https://media.glassdoor.com/sql/150407/delft-university-of-technology-squarelogo-1407303199964.png,Delft,€32.00 - €40.00 Per Hour(Employer est.)
Product Manager,NewGlobe,https://media.glassdoor.com/sql/3211277/newglobe-squareLogo-1626698368843.png,Amsterdam,nan
Business Development / Sales Manager,Sowiso,https://media.glassdoor.com/sql/1091075/sowiso-squarelogo-1567686672272.png,Netherlands,nan
Sales Development Representative (SDR),SOWISO,https://media.glassdoor.com/sql/1091075/sowiso-squarelogo-1567686672272.png,Netherlands,nan
